Port,Service,Banner
80,HTTP,"HTTP/1.1 404 Not Found  Date: Mon, 29 Jun 2026 17:17:15 GMT  Content-Type: text/html  Content-Length: 266389  Connection: close  Vary: Accept-Encoding  Cache-Control: no-store  x-azure-ref: 20260629T171715Z-r177dd7756987dmqhC1HYD4zus0000000h80000000006tpd  X-Cache: CONFIG_NOCACHE"
443,HTTPS,"HTTP/1.1 400 Bad Request  Date: Mon, 29 Jun 2026 17:17:22 GMT  Content-Type: text/html  Content-Length: 1931  Connection: close  Cache-Control: no-store  X-Cache: CONFIG_NOCACHE"
