Port,Service,Banner
80,HTTP,"HTTP/1.1 301 Moved Permanently  Server: Server  Date: Mon, 29 Jun 2026 17:18:14 GMT  Content-Type: text/html  Content-Length: 163  Connection: close  Location: https:///"
443,HTTPS,"HTTP/1.1 400 Bad Request  Server: Server  Date: Mon, 29 Jun 2026 17:18:21 GMT  Content-Type: text/html  Connection: close"
