Port,Service,Banner
22,SSH,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13
80,HTTP,"HTTP/1.1 200 OK  Date: Mon, 29 Jun 2026 17:11:12 GMT  Server: Apache/2.4.7 (Ubuntu)  Accept-Ranges: bytes  Vary: Accept-Encoding  Connection: close  Content-Type: text/html"
